,ID,SelfEfficacy,TaskValue,MasteryGoals
47,4352,1.49393723272216,1.78710362032207,1.74608829772361
58,4422,1.49393723272216,1.78710362032207,1.74608829772361
162,4507,1.49393723272216,1.78710362032207,1.74608829772361
244,4746,1.49393723272216,1.78710362032207,1.74608829772361
278,4815,1.49393723272216,1.78710362032207,1.74608829772361
282,4817,1.49393723272216,1.78710362032207,1.74608829772361
266,4778,1.24199792595239,1.71358071126964,1.60608403444706
21,4309,1.07270878735664,1.66868000970944,1.51851968395739
91,4368,0.973614369022061,1.64380993644344,1.46899312680366
45,4324,0.87805997868235,1.62219915894392,1.42605035728981
4,4248,0.745476473927389,1.5909982438411,1.36222950867296
212,5762,0.479367797814688,1.5360406373118,1.24833563584983
80,4451,0.317709252724889,1.50593524331041,1.18417929357366
234,4596,1.16232691006095,1.42358174742536,1.43104547812089
134,4543,1.41597459058138,1.38980308079858,1.50784150412311
32,4343,0.905860359831737,1.3799408397998,1.32094432347919
312,4826,0.817860193563472,1.36455362467398,1.28451052507712
188,4710,0.81739907282878,1.35982779641527,1.2822725086947
187,4712,0.601104071247536,1.32312028808658,1.19682714066968
110,4423,0.174848194595834,1.26262116013553,1.04614406582424
279,4821,1.01963909027989,1.21855780654382,0.982062348243677
228,4585,1.15048965394537,1.21463396210062,1.32937097641082
197,4722,1.00636299364252,1.19548120576368,0.927092734737342
198,4727,0.910819055103182,1.16142438365926,1.22682294764186
82,4384,1.37667040834962,1.16064976132361,1.3828454489208
55,4396,0.52425302068466,1.15281069313504,0.815151747669107
195,4725,1.12739315299766,1.15079726700432,1.29295156023804
221,4592,0.0487732327954096,1.12457513563723,0.736856913068381
123,4533,0.584981683725451,1.11644239935323,1.10836283409661
331,4868,0.728562435530392,1.08068728401342,1.13697055757264
264,4775,0.40329262761738,1.07322521081462,0.596582290109692
368,4932,0.797208487358742,1.06764402380114,1.15249078666069
121,4538,-0.210146089489077,1.03473597905003,0.487252465609375
93,4394,1.11353843732623,1.0334425709831,1.23726578086236
341,4884,0.172840254637927,1.02568475128013,0.959610312697535
18,4322,-0.130085572575847,1.0161328293899,0.432394380628469
38,4347,0.581218367453176,0.9909258682631,0.785427783135772
260,4773,0.736292261348587,0.984506716889171,1.10126708925655
281,4816,1.34726882887734,0.972655678769301,1.28725611383594
191,4704,0.927187971878569,0.961254165386275,1.14900125049238
242,4760F,0.500135874749029,0.942803550152715,1.01824032301153
